place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
312,yle0173z,https://www.speedrun.com/sm64/run/yle0173z,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1234834419'}],"mod note: set verified to Yes instead of No, changed platform from N64 to EMU",verified,qxkm6mj0,2021-12-20T16:58:55Z,"[{'rel': 'user', 'id': 'j42ynvmx', 'uri': 'https://www.speedrun.com/api/v1/users/j42ynvmx'}]",2021-12-15,2021-12-20T03:54:53Z,PT10M31S,631,PT10M31S,631,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
312,z5kgl0dz,https://www.speedrun.com/sm64/run/z5kgl0dz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=dklzZDGYqSs'}],"Splits screwed up, retimed to 10:31.88 in aviutl",verified,qxkm6mj0,2023-12-31T23:39:11Z,"[{'rel': 'user', 'id': 'xz0177e8', 'uri': 'https://www.speedrun.com/api/v1/users/xz0177e8'}]",2024-01-01,2023-12-31T20:52:51Z,PT10M31S,631,PT10M31S,631,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
314,ylvqog3m,https://www.speedrun.com/sm64/run/ylvqog3m,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/782219013'}],Grinding,verified,kjpmy0jq,2020-10-26T09:06:56Z,"[{'rel': 'user', 'id': 'j2y5ym68', 'uri': 'https://www.speedrun.com/api/v1/users/j2y5ym68'}]",2020-10-26,2020-10-26T05:09:39Z,PT10M32S,632,PT10M32S,632,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
315,yj9kg73z,https://www.speedrun.com/sm64/run/yj9kg73z,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/ZDyWVzCnnzY'}],:skull:,verified,8lpgwllj,2024-07-13T23:18:08Z,"[{'rel': 'user', 'id': 'zx76zpvj', 'uri': 'https://www.speedrun.com/api/v1/users/zx76zpvj'}]",2024-07-12,2024-07-13T02:03:02Z,PT10M34S,634,PT10M34S,634,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
316,9me27qm7,https://www.speedrun.com/sm64/run/9me27qm7,o1y9wo6q,,7kjpp4k3,[{'uri': 'http://www.nicovideo.jp/watch/sm10900554'}],,verified,,,"[{'rel': 'guest', 'name': '[jp]Asran', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5DAsran'}]",2010-05-30,2023-10-04T18:45:07Z,PT10M36S,636,PT10M36S,636,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
317,z08g75em,https://www.speedrun.com/sm64/run/z08g75em,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2427970559?filter=highlights&sort=time'}],,verified,j4232gmx,2025-04-11T21:45:47Z,"[{'rel': 'user', 'id': 'x72e4p08', 'uri': 'https://www.speedrun.com/api/v1/users/x72e4p08'}]",2025-04-09,2025-04-09T03:55:46Z,PT10M37S,637,PT10M37S,637,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
318,zx767j5y,https://www.speedrun.com/sm64/run/zx767j5y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/WkvR_yVZVdo'}],another 1 star pb maybe next sub 10 Paus,verified,j92zg478,2022-05-10T07:32:58Z,"[{'rel': 'user', 'id': 'kjpe160x', 'uri': 'https://www.speedrun.com/api/v1/users/kjpe160x'}]",2022-05-09,2022-05-09T22:02:47Z,PT10M39S,639,PT10M39S,639,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
319,mk70961y,https://www.speedrun.com/sm64/run/mk70961y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/930534881'}],,verified,v8159vlj,2021-02-28T04:03:35Z,"[{'rel': 'user', 'id': 'zx7w0qr8', 'uri': 'https://www.speedrun.com/api/v1/users/zx7w0qr8'}]",2021-02-27,2021-02-27T16:21:49Z,PT10M46S,646,PT10M46S,646,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
319,m33j136m,https://www.speedrun.com/sm64/run/m33j136m,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1503715968'}],,verified,98rv2rdj,2022-06-26T23:56:19Z,"[{'rel': 'user', 'id': 'xkmp5p7j', 'uri': 'https://www.speedrun.com/api/v1/users/xkmp5p7j'}]",2022-06-14,2022-06-26T15:50:40Z,PT10M46S,646,PT10M46S,646,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
321,m3x8xo4m,https://www.speedrun.com/sm64/run/m3x8xo4m,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=NoPq8WHXrwU'}],sub 10 soon,verified,j4232gmx,2022-11-04T13:32:03Z,"[{'rel': 'user', 'id': '8lpd6rlj', 'uri': 'https://www.speedrun.com/api/v1/users/8lpd6rlj'}]",2022-11-03,2022-11-04T03:11:56Z,PT10M47S,647,PT10M47S,647,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
