place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
88,y8px07dz,https://www.speedrun.com/sm64/run/y8px07dz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/-svk0I3G3xU?t=1'}],Finally beat emu 120 pb yay,verified,8vkn1mnj,2024-09-07T01:12:19Z,"[{'rel': 'user', 'id': 'dx35yzej', 'uri': 'https://www.speedrun.com/api/v1/users/dx35yzej'}]",2024-09-03,2024-09-05T06:35:04Z,PT1H43M27S,6207,PT1H43M27S,6207,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
88,mkw975lm,https://www.speedrun.com/sm64/run/mkw975lm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/Byi82-zf4JM?si=g40aLgFr7mP-VETb'}],,verified,xyld2znj,2025-05-03T16:02:20Z,"[{'rel': 'user', 'id': 'pj0vn53x', 'uri': 'https://www.speedrun.com/api/v1/users/pj0vn53x'}]",2025-05-02,2025-05-03T09:26:13Z,PT1H43M27S,6207,PT1H43M27S,6207,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
90,yvqnqw4m,https://www.speedrun.com/sm64/run/yvqnqw4m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=V0cjH0PSKoE'}],it's over,verified,zx7gkrx7,2022-02-24T05:08:11Z,"[{'rel': 'user', 'id': '8gr94w1x', 'uri': 'https://www.speedrun.com/api/v1/users/8gr94w1x'}]",2022-02-23,2022-02-23T23:42:12Z,PT1H43M28S,6208,PT1H43M28S,6208,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
91,zxjr1dky,https://www.speedrun.com/sm64/run/zxjr1dky,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=BYq47RCDL_k&t=9s'}],"Lost 1:30 to hmc, 30 in wf.

Input display is just a Nintendo Spy skin that looks like the Usamune input display.",verified,j2w1w5lj,2025-04-11T16:18:17Z,"[{'rel': 'user', 'id': '8r7412qj', 'uri': 'https://www.speedrun.com/api/v1/users/8r7412qj'}]",2025-04-06,2025-04-06T16:43:41Z,PT1H43M29S,6209,PT1H43M29S,6209,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
92,zq3nkk8y,https://www.speedrun.com/sm64/run/zq3nkk8y,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=oQ5RRBqN1uw'}],,verified,68w23w48,2019-03-17T03:04:04Z,"[{'rel': 'guest', 'name': '[jp]でさんと (Descente)', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5D%E3%81%A7%E3%81%95%E3%82%93%E3%81%A8+%28Descente%29'}]",2019-02-23,2019-03-17T03:04:04Z,PT1H43M30S,6210,PT1H43M30S,6210,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
92,zn0r3d9y,https://www.speedrun.com/sm64/run/zn0r3d9y,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/lsEgDRuBk9U'}],,verified,qxkm6mj0,2021-08-08T21:42:10Z,"[{'rel': 'user', 'id': '48gqo07j', 'uri': 'https://www.speedrun.com/api/v1/users/48gqo07j'}]",2021-08-08,2021-08-08T21:22:55Z,PT1H43M30S,6210,PT1H43M30S,6210,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,
92,y8kenrdy,https://www.speedrun.com/sm64/run/y8kenrdy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/KNDq0f8O3rM'}],mod note: retimed to 1:43:30,verified,zx7gkrx7,2023-11-05T23:24:08Z,"[{'rel': 'user', 'id': 'qjo3kk7j', 'uri': 'https://www.speedrun.com/api/v1/users/qjo3kk7j'}]",2023-11-04,2023-11-04T18:47:04Z,PT1H43M30S,6210,PT1H43M30S,6210,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
95,z15wpdwy,https://www.speedrun.com/sm64/run/z15wpdwy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/HVhVQHwNdgY'}],,verified,zx7gkrx7,2020-09-01T23:22:20Z,"[{'rel': 'user', 'id': 'o86nzl0x', 'uri': 'https://www.speedrun.com/api/v1/users/o86nzl0x'}]",2020-08-18,2020-08-31T22:05:01Z,PT1H43M32S,6212,PT1H43M32S,6212,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
95,y602kr0y,https://www.speedrun.com/sm64/run/y602kr0y,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=rEyHFZZgmxI'}],"First 1:05 Up into 6:35 WDW lol

mod note: replaced video (watch?v=-uzZ7B82RD0)",verified,qxkm6mj0,2022-06-17T12:31:23Z,"[{'rel': 'user', 'id': 'kjpoery8', 'uri': 'https://www.speedrun.com/api/v1/users/kjpoery8'}]",2022-06-17,2022-06-17T08:25:19Z,PT1H43M32S,6212,PT1H43M32S,6212,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
95,z1653v9m,https://www.speedrun.com/sm64/run/z1653v9m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=3PhyfqALK3g'}],wow,verified,8e6k1loj,2025-05-18T16:20:18Z,"[{'rel': 'user', 'id': 'jo30mmnj', 'uri': 'https://www.speedrun.com/api/v1/users/jo30mmnj'}]",2025-05-16,2025-05-16T00:22:12Z,PT1H43M32S,6212,PT1H43M32S,6212,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
