id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
86,2025-03-12 04:49:47,2025-03-12 04:52:50,,00:02:03.0231907,,,,,,,,,,,
87,2025-03-12 04:53:09,2025-03-12 04:54:13,,,,,,,,,,,,,
88,2025-03-12 04:54:15,2025-03-12 04:59:04,,00:01:42.6101708,,,,,,,,,,,
89,2025-03-12 04:59:07,2025-03-12 04:59:10,,,,,,,,,,,,,
90,2025-03-12 04:59:12,2025-03-12 05:00:15,,,,,,,,,,,,,
91,2025-03-12 05:00:17,2025-03-12 05:07:59,,00:01:58.1189377,00:03:31.2707704,00:01:33.9618466,,,,,,,,,
92,2025-03-12 05:08:01,2025-03-12 05:15:59,,00:01:39.8384690,00:03:31.2467410,00:01:31.0852290,,,,,,,,,
93,2025-03-12 05:16:02,2025-03-12 05:17:05,,,,,,,,,,,,,
94,2025-03-12 05:17:06,2025-03-12 05:26:26,,00:01:42.3679639,00:03:27.9470725,00:01:48.0473681,,,,,,,,,
95,2025-03-12 05:26:29,2025-03-12 05:27:31,,,,,,,,,,,,,
96,2025-03-12 05:27:33,2025-03-12 05:49:24,,00:01:58.4830529,00:03:38.6177829,00:01:37.4838529,00:02:35.6366274,00:01:46.5980036,00:00:35.2089756,00:01:31.9919144,00:01:02.0649956,00:00:49.5508289,00:02:40.2177708,00:01:08.0429179,
97,2025-03-12 05:53:46,2025-03-12 05:55:30,,,,,,,,,,,,,
98,2025-03-12 05:55:32,2025-03-12 06:16:28,00:20:55.7754700,00:01:53.7130296,00:03:35.9627520,00:01:29.0326522,00:02:29.2340705,00:01:33.5998704,00:00:35.3046119,00:01:22.2479610,00:00:55.5841809,00:00:53.3216087,00:01:46.6460567,00:01:09.5767635,00:03:11.5519126
99,2025-03-13 03:01:48,2025-03-13 03:10:01,,00:01:39.4418770,00:03:44.6284053,00:01:33.8726393,,,,,,,,,
100,2025-03-13 03:10:04,2025-03-13 03:11:08,,,,,,,,,,,,,
101,2025-03-13 03:11:09,2025-03-13 03:12:14,,,,,,,,,,,,,
102,2025-03-13 03:12:15,2025-03-13 03:33:16,00:21:00.7363927,00:01:40.1677710,00:03:36.3815560,00:01:34.4788248,00:02:18.7946330,00:01:46.7618281,00:00:36.7538287,00:01:36.2399394,00:00:49.1838862,00:00:58.0868995,00:01:37.7567943,00:01:16.4728471,00:03:09.6575846
103,2025-03-13 03:34:01,2025-03-13 03:35:04,,,,,,,,,,,,,
104,2025-03-13 03:35:06,2025-03-13 03:43:05,,00:01:47.6380185,00:03:35.5595618,00:01:32.3688359,,,,,,,,,
105,2025-03-13 03:43:07,2025-03-13 03:44:08,,,,,,,,,,,,,
106,2025-03-13 03:44:10,2025-03-13 03:52:09,,00:01:42.3578180,00:03:47.8184391,00:01:27.9217591,,,,,,,,,
107,2025-03-13 03:52:11,2025-03-13 03:54:45,,00:01:38.9848761,,,,,,,,,,,
108,2025-03-13 03:54:47,2025-03-13 04:14:18,,00:01:38.0248954,00:03:50.0534184,00:01:29.3446282,00:02:32.4698943,00:01:55.3597566,00:00:34.7429192,00:01:39.5188032,00:01:01.7528954,00:00:51.9328711,00:01:38.9088638,00:01:11.9952000,
109,2025-03-13 04:14:23,2025-03-13 04:14:34,,,,,,,,,,,,,
110,2025-03-13 04:14:57,2025-03-13 04:37:26,00:22:28.9489892,00:01:39.2609301,00:03:24.4793905,00:01:27.0028696,00:02:31.8827383,00:02:00.2917274,00:00:42.2909521,00:01:36.3418224,00:00:59.8038979,00:00:47.9777739,00:01:40.4004873,00:01:37.1031922,00:04:02.1132075
111,2025-03-13 04:37:33,2025-03-13 04:38:35,,,,,,,,,,,,,
112,2025-03-13 04:38:37,2025-03-13 04:40:20,,,,,,,,,,,,,
113,2025-03-13 04:40:22,2025-03-13 04:42:03,,,,,,,,,,,,,
114,2025-03-13 04:42:06,2025-03-13 04:42:23,,,,,,,,,,,,,
115,2025-03-13 04:52:07,2025-03-13 04:52:17,,,,,,,,,,,,,
