id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
192,2024-12-31 21:25:00,2024-12-31 21:41:21,,00:02:03.9881633,00:03:33.1859535,00:01:26.7007904,00:02:42.5620334,00:03:07.3573719,00:00:34.8527840,00:01:27.8353376,,,,,
193,2024-12-31 21:42:05,2024-12-31 21:44:10,,,,,,,,,,,,,
194,2024-12-31 21:44:10,2024-12-31 22:09:44,00:25:35.2780798,00:02:01.9142039,00:03:43.4315943,00:01:32.0746993,00:03:23.1240121,00:01:37.6898148,00:00:34.1070094,00:01:33.4673898,00:01:15.7449900,00:01:21.4722026,00:01:44.1881201,00:03:38.9853839,00:03:09.0786596
195,2024-12-31 22:11:47,2024-12-31 22:11:57,,,,,,,,,,,,,
196,2024-12-31 22:11:57,2024-12-31 22:15:51,,00:01:47.7642547,,,,,,,,,,,
197,2024-12-31 22:15:51,2024-12-31 22:17:41,,,,,,,,,,,,,
198,2024-12-31 22:17:41,2024-12-31 22:40:35,,00:01:50.6330509,00:03:52.0471364,00:01:26.1698759,00:02:18.1870243,00:02:18.0619178,00:00:35.7177002,00:01:27.0950624,00:02:09.0447332,00:00:58.6198551,,,
199,2025-01-01 04:24:31,2025-01-01 04:27:53,,,,,,,,,,,,,
200,2025-01-01 04:27:53,2025-01-01 04:31:02,,00:01:54.6607812,,,,,,,,,,,
201,2025-01-01 04:31:02,2025-01-01 04:54:35,00:23:35.1953641,00:01:55.5831640,00:03:48.2400878,00:01:27.5682327,00:02:26.2877218,00:02:05.8860632,00:01:23.6215672,00:01:44.4745311,00:01:07.5727763,00:00:55.9557555,00:02:05.1480820,00:01:35.8765851,00:02:58.9807974
202,2025-01-01 04:55:34,2025-01-01 05:17:45,,00:02:03.5384604,00:03:45.3512324,00:01:25.2188271,00:02:26.2614019,00:01:39.2576464,00:00:35.0082712,00:01:49.9040914,00:01:14.1292035,00:01:09.2947175,00:02:37.4067850,00:02:26.5482952,
203,2025-01-01 05:17:45,2025-01-01 05:27:07,,00:02:02.7835657,00:03:51.6668303,00:01:30.5515111,,,,,,,,,
204,2025-01-01 05:27:07,2025-01-01 05:49:55,00:22:49.6949872,00:01:58.9502843,00:03:27.8741086,00:01:28.4115330,00:03:23.7899597,00:01:28.1717889,00:00:35.8444356,00:01:21.6888568,00:00:54.4111587,00:00:56.0763532,00:03:21.0425675,00:01:34.3591713,00:02:19.0747696
205,2025-01-01 05:58:36,2025-01-01 05:59:00,,,,,,,,,,,,,
206,2025-01-01 05:59:00,2025-01-01 06:20:40,00:21:40.8384527,00:01:46.7522481,00:03:47.8445027,00:01:25.0762644,00:02:32.1706958,00:01:38.1084263,00:00:35.5766960,00:01:30.1770447,00:00:59.2438924,00:00:55.9537268,00:01:58.0050148,00:01:22.9491596,00:03:08.9807811
207,2025-01-01 06:29:37,2025-01-01 06:29:48,,,,,,,,,,,,,
208,2025-01-01 06:29:48,2025-01-01 06:54:25,,00:01:39.8430419,00:04:07.9520565,00:01:39.4586761,00:03:45.5567202,00:01:34.6441797,00:00:34.2929114,00:01:26.0120353,00:01:04.9883021,00:00:59.5133223,00:02:00.8285926,00:01:03.5606687,
209,2025-01-03 02:34:12,2025-01-03 02:35:19,,,,,,,,,,,,,
210,2025-01-03 02:35:19,2025-01-03 02:37:07,,,,,,,,,,,,,
211,2025-01-03 02:37:07,2025-01-03 02:40:47,,00:02:00.7566551,,,,,,,,,,,
212,2025-01-03 02:40:47,2025-01-03 02:46:27,,00:02:12.2824954,,,,,,,,,,,
213,2025-01-03 02:46:27,2025-01-03 02:46:35,,,,,,,,,,,,,
214,2025-01-03 02:46:35,2025-01-03 03:06:39,,00:01:46.5257307,00:03:58.5217522,00:01:30.1726880,00:02:22.1063464,00:01:31.3782348,00:00:34.5776477,00:01:32.3077560,00:00:45.8008990,00:00:59.7174690,00:01:48.9035126,00:01:38.3189373,
215,2025-01-03 03:06:39,2025-01-03 03:17:20,,00:01:55.0303148,00:05:51.4694430,00:01:32.8605025,,,,,,,,,
216,2025-01-03 03:17:20,2025-01-03 03:17:28,,,,,,,,,,,,,
