id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
126,2024-08-08 13:39:10,2024-08-08 13:41:48,,00:01:35.6939225,,,,,,,,,,
127,2024-08-08 13:41:48,2024-08-08 13:49:15,,00:01:35.5013583,00:03:03.1308810,,,,,,,,,
128,2024-08-08 17:12:50,2024-08-08 17:13:51,,,,,,,,,,,,
129,2024-08-08 17:13:51,2024-08-08 17:13:59,,,,,,,,,,,,
130,2024-08-08 17:13:59,2024-08-08 17:16:22,,00:01:38.6118933,,,,,,,,,,
131,2024-08-08 17:16:22,2024-08-08 17:32:07,,00:01:36.2564465,00:03:00.0249511,00:01:16.5561917,00:01:51.8946677,00:01:25.8924389,00:00:59.8599782,00:00:43.6100537,,00:00:41.6972654,,
132,2024-08-08 17:32:07,2024-08-08 17:32:15,,,,,,,,,,,,
133,2024-08-08 17:32:15,2024-08-08 17:35:00,,00:01:35.9292955,,,,,,,,,,
134,2024-08-08 17:35:00,2024-08-08 17:50:16,,00:01:34.8903491,00:02:56.9078170,00:01:20.0428880,00:01:52.2058676,00:01:34.1653990,00:01:04.2659356,00:00:43.5746155,00:00:55.0935581,00:00:44.1679103,00:01:33.9326844,
135,2024-08-08 17:50:16,2024-08-08 17:51:46,,,,,,,,,,,,
136,2024-08-08 17:51:46,2024-08-08 17:55:28,,00:01:33.9423058,,,,,,,,,,
137,2024-08-08 17:55:28,2024-08-08 18:02:29,,00:01:34.8185278,00:03:00.5349461,00:01:20.4751225,,,,,,,,
138,2024-08-08 18:02:29,2024-08-08 18:04:03,,,,,,,,,,,,
139,2024-08-08 18:04:03,2024-08-08 18:06:26,,00:01:33.5349762,,,,,,,,,,
140,2024-08-08 18:06:26,2024-08-08 18:07:28,,,,,,,,,,,,
141,2024-08-08 18:07:28,2024-08-08 18:07:37,,,,,,,,,,,,
142,2024-08-08 18:07:37,2024-08-08 18:10:04,,00:01:34.9496660,,,,,,,,,,
143,2024-08-08 18:10:04,2024-08-08 18:11:36,,,,,,,,,,,,
144,2024-08-08 18:11:36,2024-08-08 18:13:07,,,,,,,,,,,,
