id,started,ended,realTime,bob,wf,ccm,dw,ssl,lll,hmc,ddd,fs,bljs,bits
237,2018-10-11 00:17:13,2018-10-11 00:17:15,,,,,,,,,,,,
238,2018-10-11 00:17:19,2018-10-11 00:24:32,,,,,,,,,,,,
239,2018-10-11 00:24:34,2018-10-11 00:49:48,00:25:13.8980000,,,,,,,00:02:13.5510000,00:02:01.2120000,00:02:04.2880000,00:01:26.3400000,00:05:30.4920000
240,2018-10-11 00:49:57,2018-10-11 01:15:45,,,,,,,,00:02:23.8410000,00:03:43.7860000,00:02:02.1520000,00:02:44.3160000,
241,2018-10-11 22:51:11,2018-10-11 22:53:08,,,,,,,,,,,,
242,2018-10-11 22:53:10,2018-10-11 22:57:29,,,,,,,,,,,,
243,2018-10-12 01:15:07,2018-10-12 01:17:19,,,,,,,,,,,,
244,2018-10-12 01:17:22,2018-10-12 01:23:36,,,,,,,,,,,,
245,2018-10-12 01:23:38,2018-10-12 01:25:47,,,,,,,,,,,,
246,2018-10-12 01:25:49,2018-10-12 01:30:01,,,,,,,,,,,,
247,2018-10-12 01:30:02,2018-10-12 01:33:06,,,,,,,,,,,,
248,2018-10-12 01:33:08,2018-10-12 01:36:12,,,,,,,,,,,,
249,2018-10-12 01:36:13,2018-10-15 01:32:01,,,,,,,,00:02:05.1120000,00:02:26.6090000,00:02:14.3520000,00:01:41.1500000,
250,2018-10-15 01:32:39,2018-10-15 01:42:12,,,,,,,,,,,,
251,2018-10-15 01:42:14,2018-10-15 02:08:49,,,,,,,,00:02:10.5620000,00:02:43.7880000,00:02:14.3170000,00:03:05.3440000,
252,2018-10-18 01:45:03,2018-10-18 01:54:39,,,,,,,,,,,,
253,2018-10-18 01:54:41,2018-10-18 01:57:45,,,,,,,,,,,,
254,2018-10-18 01:57:46,2018-10-18 02:05:44,,,,,,,,,,,,
255,2018-10-18 02:05:45,2018-10-18 02:06:53,,,,,,,,,,,,
256,2018-10-18 02:06:55,2018-10-18 02:09:11,,,,,,,,,,,,
257,2018-10-18 02:09:13,2018-10-18 02:24:52,,,,,,,,00:02:11.4760000,,,,
258,2018-10-18 02:24:54,2018-10-18 02:26:02,,,,,,,,,,,,
259,2018-10-18 02:26:04,2018-10-18 02:45:38,,,,,,,,00:02:10.5490000,00:02:52.8200000,,,
260,2018-10-20 01:51:31,2018-10-20 02:01:35,,,,,,,,,,,,
261,2018-10-20 02:01:40,2018-10-20 02:04:39,,,,,,,,,,,,
262,2018-10-20 02:04:41,2018-10-20 02:24:49,,,,,,,,00:02:09.5270000,00:02:52.5650000,00:02:28.9610000,,
263,2018-10-20 02:25:28,2018-10-20 02:26:45,,,,,,,,,,,,
264,2018-10-20 02:26:47,2018-10-20 02:35:42,,,,,,,,,,,,
265,2018-10-20 02:37:13,2018-10-20 02:39:40,,,,,,,,,,,,
266,2018-10-20 02:39:42,2018-10-20 02:40:50,,,,,,,,,,,,
267,2018-10-20 02:40:51,2018-10-20 02:43:00,,,,,,,,,,,,
268,2018-10-20 02:43:02,2018-10-20 02:45:16,,,,,,,,,,,,
269,2018-10-20 02:45:17,2018-10-20 02:48:39,,,,,,,,,,,,
270,2018-10-20 02:48:40,2018-10-20 02:50:32,,,,,,,,,,,,
271,2018-10-20 02:50:34,2018-10-20 02:53:58,,,,,,,,,,,,
272,2018-10-20 02:54:00,2018-10-20 02:55:51,,,,,,,,,,,,
273,2018-10-20 02:55:53,2018-10-20 03:02:21,,,,,,,,,,,,
274,2018-10-20 03:02:23,2018-10-20 03:07:30,,,,,,,,,,,,
275,2018-10-20 03:07:31,2018-10-20 03:10:33,,,,,,,,,,,,
276,2018-10-20 03:10:34,2018-10-20 03:32:03,,,,,,,,00:02:22.6150000,00:02:35.9100000,00:01:57.6740000,00:01:33.9100000,
277,2018-10-20 03:32:07,2018-10-20 03:34:07,,,,,,,,,,,,
278,2018-10-20 03:34:08,2018-10-20 03:37:24,,,,,,,,,,,,
279,2018-10-20 03:37:26,2018-10-20 03:39:27,,,,,,,,,,,,
280,2018-10-20 03:39:28,2018-10-20 03:41:40,,,,,,,,,,,,
281,2018-10-20 03:41:41,2018-10-20 04:04:11,,,,,,,,00:02:07.2180000,00:02:20.1990000,00:02:14.6610000,00:02:40.4870000,
282,2018-10-20 04:10:38,2018-10-20 04:11:57,,,,,,,,,,,,
283,2018-10-20 04:12:22,2018-10-20 04:12:33,,,,,,,,,,,,
284,2018-10-20 04:12:40,2018-10-20 04:13:03,,,,,,,,,,,,
285,2018-10-20 04:13:16,2018-10-20 04:15:01,,,,,,,,,,,,
286,2018-10-20 04:17:40,2018-10-20 04:19:22,,,,,,,,,,,,
287,2018-10-20 04:19:49,2018-10-20 04:20:30,,,,,,,,,,,,
288,2018-10-20 04:20:38,2018-10-20 04:21:54,,,,,,,,,,,,
289,2018-10-20 04:22:02,2018-10-20 04:24:40,,,,,,,,,,,,
290,2018-10-20 04:24:41,2018-10-20 04:24:47,,,,,,,,,,,,
291,2018-10-20 16:55:55,2018-10-20 17:00:32,,,,,,,,,,,,
292,2018-10-20 17:00:33,2018-10-20 17:23:20,00:22:46.6440000,,,,,,,00:02:13.5680000,00:02:15.8690000,00:02:09.1470000,00:01:04.2110000,00:03:21.2150000
293,2018-10-20 17:24:40,2018-10-20 17:25:30,,,,,,,,,,,,
294,2018-10-20 21:39:07,2018-10-20 21:50:09,,,,,,,,,,,,
295,2018-10-20 21:50:10,2018-10-20 21:50:13,,,,,,,,,,,,
296,2018-10-20 21:50:14,2018-10-20 21:50:25,,,,,,,,,,,,
297,2018-10-20 21:50:27,2018-10-20 21:53:27,,,,,,,,,,,,
298,2018-10-20 21:53:28,2018-10-20 22:04:53,,,,,,,,,,,,
299,2018-10-20 22:08:08,2018-10-20 22:08:13,,,,,,,,,,,,
300,2018-10-20 22:09:38,2018-10-20 22:09:45,,,,,,,,,,,,
301,2018-10-20 22:12:04,2018-10-20 22:12:06,,,,,,,,,,,,
302,2018-10-22 22:21:15,2018-10-22 22:22:01,,,,,,,,,,,,
303,2018-10-22 22:22:03,2018-10-22 22:43:01,,,,,,,,00:02:06.0020000,00:02:07.4040000,00:02:18.9810000,00:01:07.1280000,
304,2018-10-22 22:43:03,2018-10-22 22:45:00,,,,,,,,,,,,
305,2018-10-22 22:45:01,2018-10-22 22:58:38,,,,,,,,,,,,
306,2018-10-22 23:59:05,2018-10-24 00:45:58,,,,,,,,,,,,
307,2018-10-24 00:46:01,2018-10-24 00:47:58,,,,,,,,,,,,
308,2018-10-24 00:48:01,2018-10-24 00:51:26,,,,,,,,,,,,
309,2018-10-24 00:51:27,2018-10-24 00:53:20,,,,,,,,,,,,
310,2018-10-24 00:53:22,2018-10-24 01:00:11,,,,,,,,,,,,
311,2018-10-24 01:00:13,2018-10-24 01:09:55,,,,,,,,,,,,
