id,started,ended,realTime,BOB (1),WF (6),CCM (8),BitDW (BOWSER),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),BitFS (BOWSER),BLJs,BitS
99,03/13/2025 20:47:48,03/13/2025 20:50:49,,00:01:38.3067049,,,,,,,,,,,
100,03/13/2025 20:50:49,03/13/2025 21:03:36,,00:01:46.1793445,,,,,,,,,,,
101,03/13/2025 21:03:36,03/13/2025 21:30:24,,00:01:38.6620165,00:03:30.0156042,00:01:27.2283932,00:02:16.6516309,00:01:30.9668943,00:00:37.3835410,00:01:28.1743950,00:01:02.1559099,00:00:56.3400429,00:08:31.1229223,00:01:35.7873962,
102,03/13/2025 21:30:24,03/13/2025 21:48:38,,00:01:39.5928780,00:03:31.6249466,00:01:22.9806108,00:02:06.5349014,00:01:26.4669120,00:00:33.9328514,00:01:28.0925383,00:00:47.3674352,00:00:47.1965653,00:01:49.6875058,00:01:08.3603617,
103,03/13/2025 21:48:38,03/13/2025 21:50:01,,,,,,,,,,,,,
104,03/13/2025 21:50:01,03/13/2025 22:06:26,,00:01:38.8463875,00:03:12.9929139,00:01:29.5471542,00:02:10.1196513,00:01:25.2283394,00:00:37.2042054,00:01:24.7340005,00:00:45.4372679,00:00:51.6177122,,,
105,03/13/2025 22:06:26,03/13/2025 22:11:30,,00:01:38.1258421,,,,,,,,,,,
106,03/13/2025 22:11:30,03/13/2025 22:20:30,,00:01:38.6231485,00:03:31.4067044,00:01:29.6471518,,,,,,,,,
107,03/13/2025 22:20:30,03/13/2025 22:24:10,,00:01:39.1021375,,,,,,,,,,,
108,03/13/2025 22:24:10,03/13/2025 22:26:02,,,,,,,,,,,,,
109,03/13/2025 22:26:02,03/13/2025 22:29:20,,00:01:38.2782376,,,,,,,,,,,
110,03/13/2025 22:29:20,03/13/2025 22:31:14,,,,,,,,,,,,,
111,03/13/2025 22:31:14,03/13/2025 22:35:22,,00:01:48.0892248,,,,,,,,,,,
112,03/13/2025 22:35:22,03/13/2025 22:54:23,00:19:02.9907663,00:01:48.6547859,00:03:16.9665930,00:01:24.3592799,00:02:02.7191694,00:01:26.5757335,00:00:34.6439979,00:01:23.2632411,00:00:46.6682555,00:00:52.6255189,00:01:36.1968727,00:01:06.6686111,00:02:43.6487074
113,03/14/2025 05:36:50,03/14/2025 05:45:32,,00:01:48.8961497,00:03:36.9414777,00:01:25.2478673,,,,,,,,,
114,03/14/2025 05:45:32,03/14/2025 06:04:44,,00:01:38.5001654,00:03:42.5106258,00:01:26.7039844,00:02:06.3563392,00:01:35.2482299,00:00:36.1011382,00:01:20.5008394,00:00:40.5483972,00:00:50.5454203,00:01:37.9513310,00:00:58.1910210,
115,03/14/2025 06:04:44,03/14/2025 06:05:52,,,,,,,,,,,,,
116,03/14/2025 06:05:52,03/14/2025 06:18:22,,00:01:38.3891921,00:03:19.9901328,00:01:24.3207942,,,,,,,,,
117,03/14/2025 06:18:22,03/14/2025 06:19:30,,,,,,,,,,,,,
118,03/14/2025 06:19:30,03/14/2025 06:40:14,,00:01:47.7611889,00:03:17.8035629,00:01:24.4258253,00:02:06.6778203,00:01:32.4678765,00:00:33.6749575,00:01:23.6630195,00:00:51.4451033,00:00:46.8630411,00:01:41.3235800,00:00:55.6207702,
119,03/14/2025 06:40:14,03/14/2025 06:41:19,,,,,,,,,,,,,
120,03/14/2025 06:41:19,03/14/2025 06:49:26,,00:01:38.3657810,00:03:26.6732514,00:01:28.5801952,,,,,,,,,
121,03/14/2025 06:49:26,03/14/2025 06:57:07,,,,00:06:34.7766582,,,,,,,,,
122,03/14/2025 06:57:13,03/14/2025 07:00:21,,,,,,,,,,,,,
123,03/14/2025 07:00:21,03/14/2025 07:14:45,,00:01:38.8375366,00:03:21.8809241,00:01:31.6389075,00:02:11.7677235,,,00:03:39.6356876,00:01:10.1202215,,,,
124,03/14/2025 07:14:45,03/14/2025 07:18:13,,00:01:38.3690299,,,,,,,,,,,
125,03/14/2025 07:18:13,03/14/2025 07:37:32,00:19:20.0485685,00:01:39.1263195,00:03:23.2261721,00:01:27.1319262,00:02:07.9245699,00:01:26.2213132,00:00:34.5421704,00:01:20.2877847,00:00:43.5920988,00:00:45.8602535,00:01:53.3718573,00:01:35.9340346,00:02:22.8300683
126,03/14/2025 07:39:32,03/14/2025 07:58:36,00:19:05.3986042,00:01:40.1716770,00:03:27.2600294,00:01:24.3202976,00:02:07.2360356,00:01:27.3548524,00:00:33.8026066,00:01:26.9754802,00:00:46.1671045,00:00:50.9305426,00:01:35.4994859,00:01:13.1721813,00:02:32.5083111
127,03/14/2025 08:11:48,03/14/2025 08:19:43,,00:01:47.0252583,00:03:17.1607526,00:01:26.0164766,,,,,,,,,
